iter	Passed	Remaining
0	161	160998
1	166	82937
2	180	59905
3	193	48104
4	202	40344
5	212	35133
6	221	31450
7	235	29140
8	259	28599
9	324	32084
10	337	30367
11	362	29851
12	385	29303
13	433	30520
14	453	29788
15	466	28677
16	475	27500
17	485	26489
18	500	25849
19	514	25213
20	525	24486
21	534	23760
22	546	23214
23	556	22628
24	565	22070
25	577	21637
26	592	21368
27	603	20940
28	615	20615
29	630	20371
30	646	20196
31	662	20049
32	672	19701
33	682	19404
34	692	19098
35	702	18798
36	711	18531
37	721	18272
38	734	18100
39	748	17960
40	757	17721
41	767	17504
42	777	17312
43	787	17107
44	797	16924
45	807	16747
46	816	16558
47	830	16467
48	846	16429
49	882	16776
50	897	16705
51	907	16540
52	917	16397
53	927	16242
54	937	16112
55	947	15972
56	957	15832
57	966	15698
58	977	15584
59	986	15460
60	1003	15447
61	1023	15479
62	1033	15369
63	1044	15272
64	1054	15169
65	1064	15070
66	1074	14966
67	1085	14877
68	1095	14786
69	1105	14691
70	1124	14717
71	1154	14873
72	1176	14940
73	1194	14944
74	1216	15008
75	1235	15021
76	1255	15052
77	1276	15086
78	1309	15271
79	1326	15255
80	1342	15235
81	1364	15279
82	1382	15271
83	1400	15272
84	1425	15348
85	1442	15327
86	1463	15353
87	1488	15428
88	1508	15445
89	1538	15551
90	1571	15693
91	1591	15703
92	1607	15679
93	1625	15670
94	1640	15630
95	1655	15586
96	1670	15549
97	1698	15631
98	1727	15724
99	1759	15836
100	1781	15857
101	1805	15893
102	1823	15881
103	1839	15848
104	1857	15828
105	1880	15858
106	1898	15841
107	1914	15816
108	1945	15907
109	1963	15884
110	1984	15897
111	1995	15821
112	2020	15863
113	2031	15792
114	2041	15713
115	2052	15638
116	2064	15583
117	2075	15513
118	2085	15437
119	2096	15374
120	2107	15306
121	2121	15265
122	2136	15236
123	2148	15176
124	2159	15115
125	2169	15050
126	2180	14988
127	2190	14924
128	2201	14863
129	2211	14801
130	2222	14740
131	2232	14679
132	2249	14663
133	2260	14606
134	2270	14548
135	2280	14489
136	2290	14429
137	2301	14373
138	2311	14315
139	2321	14257
140	2332	14208
141	2342	14155
142	2355	14117
143	2370	14090
144	2380	14035
145	2398	14028
146	2435	14132
147	2446	14083
148	2456	14029
149	2467	13979
150	2480	13946
151	2494	13916
152	2504	13867
153	2514	13814
154	2527	13777
155	2543	13760
156	2555	13719
157	2567	13680
158	2577	13633
159	2588	13588
160	2602	13561
161	2618	13546
162	2629	13502
163	2639	13453
164	2649	13407
165	2659	13362
166	2670	13319
167	2680	13273
168	2690	13230
169	2701	13188
170	2710	13142
171	2727	13127
172	2738	13090
173	2748	13048
174	2759	13006
175	2768	12963
176	2779	12925
177	2792	12895
178	2810	12889
